;Rainfall used by the canonical GW interface fixtures (inches)
G0001  1975  01  07  04  00  0.030
G0001  1975  01  07  05  00  0.040
G0001  1975  01  07  05  15  0.020
G0001  1975  01  07  05  30  0.030
G0001  1975  01  07  05  45  0.030
G0001  1975  01  07  06  00  0.030
G0001  1975  01  07  06  15  0.060
G0001  1975  01  07  06  30  0.180
G0001  1975  01  07  06  45  0.070
G0001  1975  01  07  07  00  0.130
G0001  1975  01  07  07  15  0.050
G0001  1975  01  07  07  30  0.070
G0001  1975  01  07  07  45  0.040
G0001  1975  01  07  08  00  0.150
G0001  1975  01  07  08  15  0.010
G0001  1975  01  07  08  30  0.020
G0001  1975  01  07  08  45  0.010
G0001  1975  01  07  09  00  0.070
G0001  1975  01  07  09  30  0.010
G0001  1975  01  07  09  45  0.010
